Name,Threads,Size,branch-instructions,branch-misses in %,L3-cache-misses,L3-cache-miss-rate in %,L3-cache-references,cpu-cycles,total-instructions,IPC,cpu-clock,page-faults,L1-data-cache-loads,L1-instruction-cache-load-misses,LLC-load-misses,Exe-time,Speedup
blackscholes,1,simmedium,293033500,2.05,1166342,7.643,15259277,1314303311,1681716276,1.28,665.935666,69019,482439978,5963781,487208,0.656967402,1
blackscholes,2,simmedium,300310093,1.88,1054661,6.858,15378540,1330133300,1629645199,1.23,688.998206,68808,473075771,5695017,414415,0.599859476,1.095202173
blackscholes,4,simmedium,276619806,2.11,1271561,8.212,15484739,1476891383,1677915422,1.14,736.708792,68528,480009496,6124008,587144,0.573628187,1.145284378
blackscholes,8,simmedium,271273495,2.16,1081587,6.789,15931615,1424079971,1693537465,1.19,745.651004,68640,456463853,5790227,978008,0.567051649,1.15856713
blackscholes,1,simlarge,551503995,1.25,1113792,7.18,15513498,2514192888,3789234558,1.51,1129.304716,70086,1055392472,6602624,1040544,1.122462273,1
blackscholes,2,simlarge,526184632,1.32,1446541,8.695,16636965,2547359401,3846722125,1.51,1192.23775,70174,1143543651,6081429,559141,0.896522522,1.252017931
blackscholes,4,simlarge,519425079,1.39,1348716,8.023,16811422,3206120787,3878043424,1.21,1477.864504,69313,1136468680,5594717,576941,0.856683254,1.310241874
blackscholes,8,simlarge,564346196,1.29,1339509,9.222,14525410,3186466297,3868254400,1.21,1474.939971,70085,1058063491,6680843,914496,0.887112379,1.26529885
bodytrack,1,simsmall,190209838,2.79,1083541,7.828,13842388,843196083,931639948,1.1,474.410741,65545,263898406,5840589,492982,0.479322672,1
bodytrack,2,simsmall,182445763,2.95,880096,6.327,13910404,860967221,960953284,1.12,483.550685,65800,269528306,5783889,495455,0.482687473,0.993029027
bodytrack,4,simsmall,192587096,2.8,847599,6.013,14096187,849097192,920631556,1.08,484.483331,65462,263634253,5773446,551916,0.484246254,0.989832483
bodytrack,8,simsmall,200885638,2.78,876374,6.209,14114937,831385005,907464403,1.09,504.765135,65869,261510543,5790932,436915,0.485595226,0.987082751
bodytrack,1,simmedium,183137961,2.92,917344,6.553,13999890,852323174,963395483,1.13,487.630105,65473,260047400,5863936,423316,0.478734255,1
bodytrack,2,simmedium,191870622,2.82,898881,6.462,13909419,847508873,939579509,1.11,481.038678,66109,264353131,5747253,518074,0.465996027,1.027335486
bodytrack,4,simmedium,185301633,2.91,772806,5.706,13543904,817923259,935078246,1.14,495.62576,65215,263417202,6002532,547828,0.467996359,1.022944401
bodytrack,8,simmedium,186825396,2.77,885855,6.283,14098301,849830575,951171849,1.12,479.288696,65802,250242257,5564908,508154,0.478389263,1.000721153
bodytrack,1,simlarge,190774588,2.9,866514,6.339,13668611,836754506,930742846,1.11,502.343063,65812,260889517,5946103,446838,0.478377581,1
bodytrack,2,simlarge,204306152,2.76,1242685,8.943,13896104,858035154,913284067,1.06,500.520347,65814,260205478,5980823,493957,0.48866868,0.978940538
bodytrack,4,simlarge,192347052,2.83,1096343,7.739,14165931,847129142,929247009,1.1,523.374471,65610,253460229,6898677,666201,0.47375226,1.009763163
bodytrack,8,simlarge,194289850,2.7,1177871,8.284,14218496,858677592,925292831,1.08,482.202937,65244,266959352,5701139,737572,0.48473835,0.986877933
canneal,1,simsmall,542898172,2.66,15472615,37.008,41809155,3291922178,2532658019,0.77,1457.207973,78794,677922646,6693144,10608504,1.432606936,1
canneal,2,simsmall,546011109,2.71,13743432,32.348,42485847,3306859664,2554684765,0.77,1478.78472,78975,682431979,5084908,11022741,1.375815153,1.041278643
canneal,4,simsmall,571249848,2.73,14571420,34.226,42574581,3574503190,2500695559,0.7,1618.200511,78647,685937254,7150615,11050856,1.265090942,1.132414191
canneal,8,simsmall,545408192,2.73,14387155,34.323,41916359,3506089569,2523615295,0.72,1601.991832,78686,749869024,5942050,12176245,1.296334267,1.105121551
canneal,1,simmedium,949616726,2.74,41974248,49.357,85041336,7125559327,4420280642,0.62,3041.354226,88223,1202479276,7989956,32421613,3.015532017,1
canneal,2,simmedium,963521680,2.77,38197501,45.25,84414243,7058927696,4448797411,0.63,3136.69286,88253,1227584657,6262182,29091194,2.544032574,1.185335458
canneal,4,simmedium,965530824,2.74,41124951,48.24,85250084,8198014550,4471792963,0.55,3613.570577,88217,1161675451,6549268,30972922,2.486952066,1.21254127
canneal,8,simmedium,984381870,2.76,40454817,46.398,87190603,8205367221,4527811369,0.55,3579.747063,87911,1122830048,6578424,30965924,2.493018866,1.209590532
canneal,1,simlarge,1746774420,2.81,97236342,55.114,176427396,15073075724,8195850963,0.54,6352.464476,105951,2177729001,6582766,76068655,6.455526352,1
canneal,2,simlarge,1739570811,2.81,98945559,55.999,176690731,14753906086,8222205851,0.56,6934.517129,106174,2266611173,8056115,78282597,5.505507469,1.172557914
canneal,4,simlarge,1789277037,2.8,100092945,56.267,177888553,17443080717,8216898390,0.47,7865.746206,105915,2280443773,7491079,77912524,5.010539293,1.288389527
canneal,8,simlarge,1791144096,2.85,102303392,56.065,182472847,17727896550,8366540040,0.47,7940.960034,106327,2096666509,8213131,79419767,4.96453166,1.300329375
fluidanimate,1,simsmall,447322359,3.34,2202668,13.905,15840576,1667469010,2345345640,1.41,820.95501,87614,710792882,6650540,1563077,0.800424576,1
fluidanimate,2,simsmall,428188108,3.74,2500596,15.368,16271029,1965499476,2537280003,1.29,913.399411,91085,716767672,6486556,2216207,0.730672836,1.095462341
fluidanimate,4,simsmall,452373678,3.49,6512499,32.771,19872689,2611604917,2541921453,0.97,1128.156267,93892,721349130,8982809,3239282,0.80924058,0.989105831
fluidanimate,8,simsmall,518641440,2.98,3185744,16.307,19535754,2492814117,2801359172,1.12,1181.10618,99249,797884401,6956315,1643439,0.726945162,1.101079721
